Score,Grade
22,F
104,A
90,A-
33,F
40,F
100,A
63,D
82,B-
75,C
106,A
73,C
92,A-
49,F
86,B
98,A
95,A
16,F
31,F
91,A-
107,A
25,F
100,A
92,A-
88,B+
30,F
44,F
73,C
89,B+
99,A
88,B+
93,A
27,F
49,F
63,D
80,B-
84,B
77,C+
50,F
87,B+
28,F
97,A
84,B
89,B+
77,C+
68,D+
100,A
98,A
58,F
79,C+
50,F
90,A-
27,F
84,B
99,A
19,Y
80,B-
75,C
35,F
79,C+
77,C+
12,F
89,B+
104,A
103,A
80,B-
110,A+
93,A
84,B
82,B-
99,A
67,D+
85,B
68,D+
69,D+
21,F
34,F
66,D
72,C-
93,A
40,F
100,A
107,A
94,A
101,A
56,F
93,A
32,F
86,B
82,B-
91,A-
71,C-
63,D
108,A+
82,B-
96,A
87,B+
76,C
83,B
68,D+
94,A
88,B+
80,B-
66,D
71,C-
46,F
50,F
80,B-
24,F
88,B+
76,C
77,C+
91,A-
86,B
94,A
26,F
89,B+
50,F
93,A
96,A
87,B+
31,F
107,A
80,B-
69,D+
84,B
80,B-
93,A
22,F
60,D-
91,A-
59,F
100,A
93,A
79,C+
69,D+
96,A
46,F
49,F
72,C-
80,B-
88,B+
87,B+
95,A
76,C
5,F
27,F
90,A-
72,C-
90,A-
98,A
32,F
87,B+
81,B-
83,B
95,A
68,D+
92,A-
95,A
72,C-
76,C
22,F
80,B-
78,C+
90,A-
97,A
33,F
72,C-
87,B+
77,C+
95,A
36,F
69,D+
41,F
68,D+
86,B
85,B
92,A-
102,A
87,B+
57,F
94,A
94,A
78,C+
75,C
91,A-
91,A-
93,A
98,A
103,A
87,B+
16,F
81,B-
96,A
104,A
101,A
102,A
10,F
101,A
97,A
56,F
84,B
92,A-
1,F
75,C
91,A-
97,A
86,B
74,C
91,A-
Average,Grade
78,C+
